GENESIS-Tabelle: Temporär
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;
Nationalität/Geschlecht/Familienstand;;;;
Fortschreibung des Bevölkerungsstandes;;;;
Deutschland;;;;
Bevölkerungsstand (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
;;männlich;weiblich;Insgesamt
31.12.2001;unter 1 Jahr;378223;357532;735755
31.12.2001;1-Jährige;396041;376106;772147
31.12.2001;2-Jährige;398778;377140;775918
31.12.2001;3-Jährige;406442;385756;792198
31.12.2001;4-Jährige;419190;397776;816966
31.12.2001;5-Jährige;411907;390288;802195
31.12.2001;6-Jährige;397752;377911;775663
31.12.2001;7-Jährige;403117;381599;784716
31.12.2001;8-Jährige;419306;397776;817082
31.12.2001;9-Jährige;428898;408604;837502
31.12.2001;10-Jährige;446239;423991;870230
31.12.2001;11-Jährige;492255;466367;958622
31.12.2001;12-Jährige;486045;462446;948491
31.12.2001;13-Jährige;501162;474514;975676
31.12.2001;14-Jährige;491504;464179;955683
31.12.2001;15-Jährige;482359;457859;940218
31.12.2001;16-Jährige;467877;443535;911412
31.12.2001;17-Jährige;468529;442416;910945
31.12.2001;18-Jährige;473235;448991;922226
31.12.2001;19-Jährige;489213;466613;955826
31.12.2001;20-Jährige;490086;473113;963199
31.12.2001;21-Jährige;497077;481678;978755
31.12.2001;22-Jährige;477279;462043;939322
31.12.2001;23-Jährige;476474;460135;936609
31.12.2001;24-Jährige;476209;460023;936232
31.12.2001;25-Jährige;472961;455591;928552
31.12.2001;26-Jährige;465022;444432;909454
31.12.2001;27-Jährige;472865;454566;927431
31.12.2001;28-Jährige;481201;462026;943227
31.12.2001;29-Jährige;531500;507483;1038983
31.12.2001;30-Jährige;590072;561635;1151707
31.12.2001;31-Jährige;620851;586805;1207656
31.12.2001;32-Jährige;668931;630621;1299552
31.12.2001;33-Jährige;702313;661912;1364225
31.12.2001;34-Jährige;719760;680238;1399998
31.12.2001;35-Jährige;741654;698474;1440128
31.12.2001;36-Jährige;749802;700868;1450670
31.12.2001;37-Jährige;761752;715147;1476899
31.12.2001;38-Jährige;756610;712080;1468690
31.12.2001;39-Jährige;731961;692713;1424674
31.12.2001;40-Jährige;718261;686002;1404263
31.12.2001;41-Jährige;699318;668312;1367630
31.12.2001;42-Jährige;677160;647871;1325031
31.12.2001;43-Jährige;644096;615440;1259536
31.12.2001;44-Jährige;631785;604822;1236607
31.12.2001;45-Jährige;615441;592421;1207862
31.12.2001;46-Jährige;596413;578260;1174673
31.12.2001;47-Jährige;583747;574018;1157765
31.12.2001;48-Jährige;564535;559780;1124315
31.12.2001;49-Jährige;565876;562701;1128577
31.12.2001;50-Jährige;555406;552616;1108022
31.12.2001;51-Jährige;560042;557343;1117385
31.12.2001;52-Jährige;543760;536825;1080585
31.12.2001;53-Jährige;501852;493705;995557
31.12.2001;54-Jährige;471949;467632;939581
31.12.2001;55-Jährige;414488;411549;826037
31.12.2001;56-Jährige;365114;368610;733724
31.12.2001;57-Jährige;485962;489392;975354
31.12.2001;58-Jährige;495769;497207;992976
31.12.2001;59-Jährige;482451;485616;968067
31.12.2001;60-Jährige;580226;591029;1171255
31.12.2001;61-Jährige;609533;626891;1236424
31.12.2001;62-Jährige;594612;617621;1212233
31.12.2001;63-Jährige;551839;579000;1130839
31.12.2001;64-Jährige;511822;543033;1054855
31.12.2001;65-Jährige;492009;532131;1024140
31.12.2001;66-Jährige;470371;515092;985463
31.12.2001;67-Jährige;432441;479935;912376
31.12.2001;68-Jährige;342792;388815;731607
31.12.2001;69-Jährige;334961;389513;724474
31.12.2001;70-Jährige;333979;398120;732099
31.12.2001;71-Jährige;343333;421296;764629
31.12.2001;72-Jährige;323833;409166;732999
31.12.2001;73-Jährige;312418;406093;718511
31.12.2001;74-Jährige;270559;385885;656444
31.12.2001;75-Jährige;242840;389718;632558
31.12.2001;76-Jährige;220768;390129;610897
31.12.2001;77-Jährige;183764;368192;551956
31.12.2001;78-Jährige;168634;353258;521892
31.12.2001;79-Jährige;166706;354168;520874
31.12.2001;80-Jährige;158488;356990;515478
31.12.2001;81-Jährige;141000;334438;475438
31.12.2001;82-Jährige;97383;237857;335240
31.12.2001;83-Jährige;57017;144429;201446
31.12.2001;84-Jährige;49201;127908;177109
31.12.2001;85 Jahre und mehr;368270;1171822;1540092
31.12.2001;Insgesamt;40274676;42165633;82440309
31.12.2002;unter 1 Jahr;369289;349961;719250
31.12.2002;1-Jährige;380314;359233;739547
31.12.2002;2-Jährige;396983;376789;773772
31.12.2002;3-Jährige;399821;377990;777811
31.12.2002;4-Jährige;407275;386866;794141
31.12.2002;5-Jährige;420212;398788;819000
31.12.2002;6-Jährige;412468;390961;803429
31.12.2002;7-Jährige;398489;378585;777074
31.12.2002;8-Jährige;404264;382716;786980
31.12.2002;9-Jährige;420420;398939;819359
31.12.2002;10-Jährige;430218;409834;840052
31.12.2002;11-Jährige;447799;425454;873253
31.12.2002;12-Jährige;493694;467662;961356
31.12.2002;13-Jährige;487697;463838;951535
31.12.2002;14-Jährige;502846;476175;979021
31.12.2002;15-Jährige;493567;465853;959420
31.12.2002;16-Jährige;485015;460104;945119
31.12.2002;17-Jährige;470462;446076;916538
31.12.2002;18-Jährige;471313;446587;917900
31.12.2002;19-Jährige;477577;456882;934459
31.12.2002;20-Jährige;494852;475081;969933
31.12.2002;21-Jährige;495360;481082;976442
31.12.2002;22-Jährige;503355;489448;992803
31.12.2002;23-Jährige;483684;469301;952985
31.12.2002;24-Jährige;482374;466486;948860
31.12.2002;25-Jährige;480986;465023;946009
31.12.2002;26-Jährige;476784;459479;936263
31.12.2002;27-Jährige;468148;448021;916169
31.12.2002;28-Jährige;475458;457666;933124
31.12.2002;29-Jährige;483062;464778;947840
31.12.2002;30-Jährige;532633;509901;1042534
31.12.2002;31-Jährige;590676;563401;1154077
